"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","155655","","","","0"
"2019","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","155440","","","","0"
"2020","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","154981","","","","0"
"2021","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","155153","","","","0"
"2022","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","156811","","","","0"
"2014","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","211085","","","","0"
"2015","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","211814","","","","0"
"2016","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","214317","","","","0"
"2017","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","216337","","","","0"
"2018","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","218750","","","","0"
"2019","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","222877","","","","0"
"2020","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","226903","","","","0"
"2021","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","231827","","","","0"
"2022","Moncton-Richibucto, New Brunswick","2016S05001320","Both sexes","All ages","Persons","249","units","0","v1061309731","16.1.1","242720","","","","0"
"2014","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","171838","","","","0"
"2015","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","171322","","","","0"
"2016","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","171905","","","","0"
"2017","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","172398","","","","0"
"2018","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","173194","","","","0"
"2019","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","174257","","","","0"
"2020","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","175234","","","","0"
"2021","Saint John-St. Stephen, New Brunswick","2016S05001330","Both sexes","All ages","Persons","249","units","0","v1061310061","17.1.1","176207","","","","0"
